input_var,output_var,weight_variable
-8.000000000000000000e+01,2.524172320735896813e-01,0.000000000000000000e+00
-6.000000000000000000e+01,2.877383314124507541e-01,0.000000000000000000e+00
-4.000000000000000000e+01,3.902813070141388785e-01,0.000000000000000000e+00
-2.000000000000000000e+01,5.490641083069353057e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.531046847191211757e-01,0.000000000000000000e+00
-6.000000000000000000e+01,4.584324184142373193e-01,0.000000000000000000e+00
-4.000000000000000000e+01,4.937535177530983921e-01,0.000000000000000000e+00
-2.000000000000000000e+01,5.962964933547865165e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.550792946475830547e-01,0.000000000000000000e+00
-4.000000000000000000e+01,6.197389321640816018e-01,0.000000000000000000e+00
-2.000000000000000000e+01,6.550600315029426746e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.576030071046306880e-01,0.000000000000000000e+00
-2.000000000000000000e+01,7.253547227514034468e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.606758220902645196e-01,0.000000000000000000e+00
-8.000000000000000000e+01,2.652748118832838342e-01,1.000000000000000000e+00
-6.000000000000000000e+01,3.138612410011645815e-01,1.000000000000000000e+00
-4.000000000000000000e+01,4.463139116021901942e-01,1.000000000000000000e+00
-2.000000000000000000e+01,6.375798756384820631e-01,1.000000000000000000e+00
0.000000000000000000e+00,8.670631581652069597e-01,1.000000000000000000e+00
-6.000000000000000000e+01,4.962082629472643891e-01,1.000000000000000000e+00
-4.000000000000000000e+01,5.447946920651451919e-01,1.000000000000000000e+00
-2.000000000000000000e+01,6.772473626661708046e-01,1.000000000000000000e+00
0.000000000000000000e+00,8.685133267024626180e-01,1.000000000000000000e+00
-4.000000000000000000e+01,6.898371987240987657e-01,1.000000000000000000e+00
-2.000000000000000000e+01,7.384236278419793464e-01,1.000000000000000000e+00
0.000000000000000000e+00,8.708762984430049592e-01,1.000000000000000000e+00
-2.000000000000000000e+01,8.257884929241057215e-01,1.000000000000000000e+00
0.000000000000000000e+00,8.743749220419864132e-01,1.000000000000000000e+00
-8.000000000000000000e+01,2.462316606095920832e-03,2.000000000000000000e+00
-6.000000000000000000e+01,3.121907754667217327e-03,2.000000000000000000e+00
-4.000000000000000000e+01,4.727202898038414258e-03,2.000000000000000000e+00
-2.000000000000000000e+01,6.800998671375690224e-03,2.000000000000000000e+00
0.000000000000000000e+00,9.075212014854998344e-03,2.000000000000000000e+00
-6.000000000000000000e+01,4.742228480335195472e-03,2.000000000000000000e+00
-4.000000000000000000e+01,5.401819628906493267e-03,2.000000000000000000e+00
-2.000000000000000000e+01,7.007114772277688898e-03,2.000000000000000000e+00
0.000000000000000000e+00,9.080910545614963997e-03,2.000000000000000000e+00
-4.000000000000000000e+01,6.831009980554179385e-03,2.000000000000000000e+00
-2.000000000000000000e+01,7.490601129125477181e-03,2.000000000000000000e+00
0.000000000000000000e+00,9.095896272496673679e-03,2.000000000000000000e+00
-2.000000000000000000e+01,8.468992870690058086e-03,2.000000000000000000e+00
0.000000000000000000e+00,9.128584019261355015e-03,2.000000000000000000e+00
